timestamp,target,count,interval_s,payload_size_B,sent,received,loss_percent,rtt_min_ms,rtt_avg_ms,rtt_max_ms,jitter_ms,throughput_kbps
2026-06-15T00:43:47.640974,127.0.0.1:9090,20,0.2,128,20,20,0.0,0.0,1.58,4.16,0.76,5.31
2026-06-15T00:44:04.887889,127.0.0.1:9090,10,0.5,64,10,10,0.0,0.0,1.73,3.72,0.79,1.13
